date,area,average_price,code,houses_sold,no_of_crimes,borough_flag
2012-01-01,city of london,525723,E09000001,11,NaN,1
2012-02-01,city of london,510537,E09000001,17,NaN,1
2012-03-01,city of london,527408,E09000001,9,NaN,1
2012-04-01,city of london,524290,E09000001,12,NaN,1
2012-05-01,city of london,573532,E09000001,12,NaN,1
2012-06-01,city of london,542518,E09000001,21,NaN,1
2012-07-01,city of london,543037,E09000001,16,NaN,1
2012-08-01,city of london,496168,E09000001,17,NaN,1
2012-09-01,city of london,525971,E09000001,15,NaN,1
2012-10-01,city of london,521769,E09000001,17,NaN,1
2012-11-01,city of london,521448,E09000001,22,NaN,1
2012-12-01,city of london,491529,E09000001,28,NaN,1
2013-01-01,city of london,465451,E09000001,16,NaN,1
2013-02-01,city of london,499207,E09000001,20,NaN,1
2013-03-01,city of london,527874,E09000001,18,NaN,1
2013-04-01,city of london,590685,E09000001,13,NaN,1
2013-05-01,city of london,578037,E09000001,31,NaN,1
2013-06-01,city of london,662700,E09000001,11,NaN,1
2013-07-01,city of london,651116,E09000001,29,NaN,1
2013-08-01,city of london,645847,E09000001,94,NaN,1
2013-09-01,city of london,529619,E09000001,104,NaN,1
2013-10-01,city of london,527374,E09000001,54,NaN,1
2013-11-01,city of london,546793,E09000001,22,NaN,1
2013-12-01,city of london,615401,E09000001,21,NaN,1
2014-01-01,city of london,625001,E09000001,26,NaN,1
2014-02-01,city of london,648359,E09000001,17,NaN,1
2014-03-01,city of london,654629,E09000001,36,NaN,1
2014-04-01,city of london,665262,E09000001,19,NaN,1
2014-05-01,city of london,682663,E09000001,22,NaN,1
2014-06-01,city of london,697309,E09000001,21,NaN,1
2014-07-01,city of london,724282,E09000001,15,NaN,1
2014-08-01,city of london,761544,E09000001,27,NaN,1
2014-09-01,city of london,753704,E09000001,18,NaN,1
2014-10-01,city of london,763369,E09000001,12,NaN,1
2014-11-01,city of london,762735,E09000001,39,NaN,1
2014-12-01,city of london,773768,E09000001,71,NaN,1
2015-01-01,city of london,783667,E09000001,37,NaN,1
2015-02-01,city of london,760550,E09000001,39,NaN,1
2015-03-01,city of london,767207,E09000001,35,NaN,1
2015-04-01,city of london,729148,E09000001,21,NaN,1
2015-05-01,city of london,762815,E09000001,24,NaN,1
2015-06-01,city of london,776509,E09000001,19,NaN,1
2015-07-01,city of london,779097,E09000001,17,NaN,1
2015-08-01,city of london,760243,E09000001,18,NaN,1
2015-09-01,city of london,767464,E09000001,35,NaN,1
2015-10-01,city of london,781358,E09000001,21,NaN,1
2015-11-01,city of london,741727,E09000001,11,NaN,1
2015-12-01,city of london,713253,E09000001,31,NaN,1
2016-01-01,city of london,736788,E09000001,15,NaN,1
2016-02-01,city of london,765644,E09000001,36,NaN,1
2016-03-01,city of london,794754,E09000001,35,NaN,1
2016-04-01,city of london,805320,E09000001,7,NaN,1
2016-05-01,city of london,845579,E09000001,9,NaN,1
2016-06-01,city of london,907965,E09000001,7,NaN,1
