code,area,date,median_salary,life_satisfaction,mean_salary,recycling_pct,population_size,number_of_jobs,area_size,no_of_houses,borough_flag
E09000001,city of london,2012-12-01,54000,NaN,86987,36,7604,449000,315,5531,1
E09000002,barking and dagenham,2012-12-01,33131,7.09,37059,27,190560,55000,3780,71431,1
E09000003,barnet,2012-12-01,29594,7.28,33044,33,363956,154000,8675,141461,1
E09000004,bexley,2012-12-01,27440,7.42,30833,54,234271,78000,6429,95240,1
E09000005,brent,2012-12-01,27577,7.28,32089,43,314660,123000,4323,112643,1
E09000006,bromley,2012-12-01,28082,7.6,33859,49,314036,122000,15013,135612,1
E09000007,camden,2012-12-01,36962,7.24,44832,31,224962,344000,2179,100196,1
E09000008,croydon,2012-12-01,28974,7.01,33831,44,368886,141000,8650,148806,1
E09000009,ealing,2012-12-01,31104,7.22,35024,41,340671,148000,5554,127872,1
E09000010,enfield,2012-12-01,27123,7.24,31749,39,317287,117000,8220,122339,1
E09000011,greenwich,2012-12-01,30097,7.15,32764,40,260068,82000,5044,104509,1
E09000012,hackney,2012-12-01,34803,7.07,41030,24,252119,112000,1905,103565,1
E09000013,hammersmith and fulham,2012-12-01,35136,7.21,44065,23,179850,147000,1715,82861,1
E09000014,haringey,2012-12-01,29116,7.17,31874,32,258912,80000,2960,105456,1
E09000015,harrow,2012-12-01,26738,7.37,31817,45,242377,79000,5046,86994,1
E09000016,havering,2012-12-01,28326,7.36,31759,35,239733,84000,11446,99226,1
E09000017,hillingdon,2012-12-01,33822,7.37,39849,43,281756,213000,11570,104896,1
E09000018,hounslow,2012-12-01,31821,7.35,41688,35,259052,160000,5659,97472,1
E09000019,islington,2012-12-01,36653,7.14,58131,31,211047,206000,1486,98096,1
E09000020,kensington and chelsea,2012-12-01,30726,7.7,37192,26,155930,144000,1238,84900,1
E09000021,kingston upon thames,2012-12-01,29067,7.17,36381,46,163906,81000,3726,65422,1
E09000022,lambeth,2012-12-01,35280,7.08,44271,23,310200,152000,2725,133063,1
E09000023,lewisham,2012-12-01,29995,7.23,30823,20,281556,78000,3532,118839,1
E09000024,merton,2012-12-01,28613,7.18,32742,39,202225,89000,3762,81429,1
E09000025,newham,2012-12-01,30540,7.23,35465,21,314084,97000,3857,104121,1
E09000026,redbridge,2012-12-01,28100,7.3,30371,29,284617,88000,5644,101874,1
E09000027,richmond upon thames,2012-12-01,31505,7.4,36411,46,189145,92000,5876,82691,1
E09000028,southwark,2012-12-01,36056,7.21,47611,30,293530,270000,2991,124319,1
E09000029,sutton,2012-12-01,25247,7.28,29407,37,193630,79000,4385,80283,1
E09000030,tower hamlets,2012-12-01,44880,7.32,64782,28,263003,253000,2158,108254,1
E09000031,waltham forest,2012-12-01,27235,7.24,30738,31,262566,77000,3881,98783,1
E09000032,wandsworth,2012-12-01,31262,7.26,35295,24,308312,136000,3522,135601,1
E09000033,westminster,2012-12-01,37649,7,55529,22,223858,698000,2203,119245,1
E12000001,north east,2012-12-01,23781,7.39,27977,37,2602310,1122000,NaN,NaN,0
E12000002,north west,2012-12-01,24603,7.41,28989,44,7084337,3398000,NaN,NaN,0
E12000003,yorkshire and the humber,2012-12-01,24288,7.46,28321,43,5316691,2479000,NaN,NaN,0
E12000004,east midlands,2012-12-01,24626,7.5,29039,47,4567731,2191000,NaN,NaN,0
E12000005,west midlands,2012-12-01,24573,7.43,28939,44,5642569,2659000,NaN,NaN,0
E12000006,east,2012-12-01,26145,NaN,30899,49,5907348,2869000,NaN,NaN,0
E12000007,london,2012-12-01,34883,7.25,48367,34,8308369,5229000,159471,3383029,0
