ONS code,Planning authority,Dwellings,"Offices, research and development, light industry","General industry, storage, warehousing","Retail
and
service",Traveller pitches,All other major and minor developments,Change of Use,Householder developments,Advertisements,Listed building consents (to alter/extend),listed building consents (to demolish),Conservation area consents,Total,Enforcement Notices issued,Stop Notices issued,Temporary Stop Notices issued,Breach of Condition Notices served,Planning Contravention Notices served ,Enforcement injunctions granted by High Court or County Court,Enforcement injunctions refused by High Court or County Court    ,Year
NaN,England,"50,044","2,919","2,687","7,670",321,"66,762","24,589","183,780","20,911","27,368",592,"3,190","418,475","4,568",118,206,753,"4,573",40,3,2012
NaN,London boroughs,8923,618,188,2117,2,11075,3446,27985,4821,4747,77,730,76156,1682,13,30,110,1466,2,1,2012
E09000002,Barking and Dagenham,58,5,16,36,0,75,64,328,38,3,0,0,714,13,0,0,0,0,0,0,2012
E09000003,Barnet,417,5,3,4,0,406,108,"1,724",121,89,3,43,"3,736",83,0,0,2,57,0,0,2012
E09000004,Bexley,90,8,5,2,0,206,102,933,61,7,0,0,"1,571",14,0,0,2,23,1,0,2012
E09000005,Brent,180,13,23,75,0,464,89,961,90,8,0,5,"2,524",167,0,0,0,64,0,0,2012
E09000006,Bromley,289,1,2,4,0,333,158,"1,584",114,35,2,31,"3,005",42,1,0,10,11,0,0,2012
E09000007,Camden,"1,002",132,2,159,0,280,105,425,212,422,2,46,"3,411",87,0,1,2,0,0,0,2012
E09000001,City of London,7,118,1,41,0,62,101,4,142,138,3,3,621,0,0,0,0,0,0,0,2012
E09000008,Croydon,423,15,8,89,0,611,128,862,104,1,0,7,"2,546",2,0,0,0,0,0,0,2012
E09000009,Ealing,246,7,12,5,0,526,156,"1,156",119,53,5,14,"3,020",50,0,1,3,52,0,0,2012
E09000010,Enfield,112,10,9,34,0,296,93,934,83,11,3,6,"1,912",42,0,7,3,36,0,0,2012
E09000011,Greenwich,55,0,2,0,0,414,115,546,145,82,1,19,"1,556",7,1,3,0,6,0,0,2012
E09000012,Hackney,346,7,5,42,1,243,161,415,95,63,7,34,"1,732",85,0,3,6,222,0,0,2012
E09000013,Hammersmith and Fulham,184,4,0,81,0,162,98,"1,377",64,10,0,4,"2,158",NaN,NaN,NaN,NaN,NaN,NaN,NaN,2012
E09000014,Haringey,186,4,4,57,0,77,92,989,73,33,2,34,"1,898",123,0,0,0,109,0,0,2012
E09000015,Harrow,200,13,8,91,0,146,47,"1,145",64,28,3,12,"2,211",32,0,2,0,0,0,1,2012
E09000016,Havering,135,9,7,7,0,172,56,756,60,3,0,0,"1,415",NaN,NaN,NaN,NaN,NaN,NaN,NaN,2012
E09000017,Hillingdon,237,8,7,44,0,201,50,"1,230",90,44,0,4,"2,369",NaN,NaN,NaN,NaN,NaN,NaN,NaN,2012
E09000018,Hounslow,152,33,21,76,0,168,119,"1,057",148,47,0,34,"2,319",55,0,0,2,30,0,0,2012
E09000019,Islington,232,14,2,52,0,340,146,528,124,296,0,23,"1,909",59,1,1,2,1,0,0,2012
E09000020,Kensington and Chelsea,854,10,0,134,0,332,189,"1,081",285,692,4,86,"3,976",48,0,0,6,4,0,0,2012
E09000021,Kingston upon Thames,150,2,0,18,0,179,72,842,79,24,0,14,"1,690",0,0,0,0,0,0,0,2012
E09000022,Lambeth,266,11,3,30,1,544,80,827,113,127,20,26,"2,359",20,0,0,4,12,0,0,2012
E09000023,Lewisham,288,0,5,62,0,347,56,421,96,50,0,10,"1,558",NaN,NaN,NaN,NaN,NaN,NaN,NaN,2012
E09000024,Merton,108,4,1,8,0,173,55,914,75,21,2,15,"1,800",11,0,2,5,0,0,0,2012
E09000025,Newham,104,2,3,24,0,270,59,407,113,11,0,30,"1,305",395,3,7,0,408,0,0,2012
